reg_departure,Адыгея,Алтай,Алтайский,Амурская,Архангельская,Астраханская,Башкортостан,Белгородская,Брянская,Бурятия,Владимирская,Волгоградская,Вологодская,Воронежская,Дагестан,Еврейская,Забайкальский,Ивановская,Ингушетия,Иркутская,Кабардино-Балкарская,Калининградская,Калмыкия,Калужская,Камчатский,Карелия,Кемеровская,Кировская,Коми,Костромская,Краснодарский,Красноярский,Крым,Курганская,Курская,Ленинградская,Липецкая,Магаданская,Марий Эл,Мордовия,Москва,Московская,Мурманская,Ненецкий,Нижегородская,Новгородская,Новосибирская,Омская,Оренбургская,Орловская,Пензенская,Пермский,Приморский,Псковская,Ростовская,Рязанская,Самарская,Санкт-Петербург,Саратовская,Саха /Якутия/,Сахалинская,Свердловская,Севастополь,Северная Осетия - Алания,Смоленская,Ставропольский,Тамбовская,Татарстан,Тверская,Томская,Тульская,Тыва,Тюменская,Удмуртская,Ульяновская,Хабаровский,Хакасия,Ханты-Мансийский Автономный округ - Югра,Челябинская,Чеченская,Чувашская Республика,Чукотский,Ямало-Ненецкий,Ярославская
Кабардино-Балкарская,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004237922496689123,0.00027523464040997295,0.0,0.0,0.0,0.0,0.0,0.0,9.212874992802442e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00018656071860424943,0.0,0.015578971612828929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00804283986871653,0.0,0.0,0.0,7.255139056831923e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00014395117176253816,0.0,0.0,0.00437726723095526,4.030632809351068e-05,0.0,0.00043991478090631657,0.0,0.0,0.0,0.00012437381240283296,0.0,2.648701560430702e-05,0.0,0.017153221627224047,0.00010825128116542869,0.0,6.449012494961709e-05,8.176426556112166e-05,4.37611562158116e-05,0.0,8.637070305752289e-05,7.946104681292106e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6428859330914955e-05,0.0
Калининградская,0.0,0.0,0.00046024145886666034,0.0,0.0008385085806390443,0.0002478982965140166,0.000576783287506716,0.00031802092222116876,0.0,0.0,0.0,0.00043752567870800546,0.00028345343067538953,0.0007318431781549255,0.0004227110394741001,0.0,0.0001787633134224582,0.0,0.0005155494453399071,0.000157035175879397,0.0,0.0,0.0,0.00015802281849499068,0.00018370152650042665,0.0,0.00032493442053032457,0.00011160361556208716,0.0008464097215637939,0.0,0.002322935431876363,0.0001066654024841187,0.000669621693372523,0.0,0.0,0.0,4.641920293290351e-05,6.320912739799627e-05,0.0,0.0,0.05499885433456591,0.0,0.0009106064915773837,0.0,0.0007743118106254543,0.0,0.0005234505862646566,0.00039505704623747667,0.00033876141714863625,0.0,0.0,0.0005412281533453431,6.320912739799627e-05,0.0,0.0009748032615909737,0.0,0.0004078964002401947,0.02296664138301571,0.0002854287159065769,4.7406845548497206e-05,6.814734047596473e-05,0.0023318242154167063,0.0,0.0001916026674251762,0.0,0.0007525836730823931,0.0,0.0008849277835719478,0.0,0.0007239420372301761,0.0,0.0,0.0005935732119718087,0.00025579943743876617,5.5307986473246735e-05,0.0002162937328150185,0.0,0.0005392528681141557,0.0006241901330552132,0.00010172718940615025,0.0004217233968585064,0.00010864068771530609,0.00026863879144148415,0.0
Калмыкия,0.0,0.0,0.0,0.0,0.0,0.00732845261585557,0.0,0.0,0.0,0.0,0.0,0.0036845114057572795,0.0,0.0,0.0037177052022055435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03046821693990079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011171556604643444,0.0,0.0,0.010157301713168717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Калужская,0.0,0.0,0.0,0.0,0.0014412886816447647,0.0,0.001994863227189986,4.687928583896466e-05,0.002823728898087425,4.5881854225369676e-05,0.0005655437249083609,0.0002104580704685435,0.000557564271999601,0.002958382165922749,0.0,0.0,1.795376904470987e-05,0.0,0.0,0.00018053512206069372,0.0,0.00044186220482258186,0.0,0.12164276986759096,0.0,0.0,0.0001266738149265641,0.03659875819764107,0.034958980624890904,0.000424905867391467,0.005065955165448969,0.0002084632072413535,0.0,0.0,0.003066104780191008,7.081764456524449e-05,0.0,0.0,0.0,6.782534972445951e-05,0.1113522679101314,0.005154726579058923,0.0,0.0005685360197491459,0.004028626287310176,4.388699099817969e-05,0.0003760317183253123,0.00029823205246490286,0.0,0.004016657107947037,0.00014861731042565394,0.002253198015111089,4.18921277709897e-05,0.0,0.0013116225718774156,0.0,0.0004957235119567115,0.013819415006358627,0.0001845248485150737,0.0,0.0,0.0021803855073186545,0.0,0.0,0.013122210308455727,0.0002583347879211032,0.0,0.006100291748746977,0.0004687928583896467,0.00011171234072263921,0.08547290726379572,0.0,0.000847816871555744,0.001097174774954492,0.0001825299852878837,0.0,0.00014163528913048898,0.0007680223424681445,0.0003570805176670075,0.0,0.0,0.0,0.00034910106475824753,0.0005396105029548911
Камчатский,0.0,0.0,0.0,0.0,0.0003322513865105937,0.0,0.0,0.00015654151864441434,0.0,0.0,0.0,0.0,0.0,0.0,0.00022363074092059191,0.0,0.0,0.0,0.0,0.0012427479745444323,0.0,0.0002683568891047103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007411761699082475,0.0003354461113808879,0.0004983770797658906,0.0,0.0,0.0,0.0,0.00030988831241853454,0.0,0.0,0.015753188335420554,0.0,0.0003034988626779462,0.0,0.0,0.0,0.0035365604314156465,0.0,0.0,0.0,0.0,0.0,0.004277736601323894,0.0,0.0,0.0,0.0,0.0005367137782094206,0.0,0.00020765711656912106,0.0005015718046361847,0.0002555779896235336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014759628900759066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Карелия,0.0,0.0,0.0,0.0,0.0003305844341957842,0.0,0.0,0.00016773495922249148,0.0,0.0,0.0,0.0,0.014899098465306548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016610646447275855,0.0,0.1423695250006514,0.0,0.00016610646447275855,0.0,0.0,0.0008517027541103207,0.0,0.0,0.0,0.00013679355897756586,0.004506044972511008,0.0,0.0,0.0,0.0,0.021089007009041403,0.0,0.004051694937335522,0.0,0.0,0.0007686495218739415,0.0,0.0002915005602021939,0.0,0.00015307850647489513,0.0,0.0001335365694781,0.0,0.0006709398368899659,0.0,0.0,7.328226373798171e-05,0.14465756012402617,0.0,0.0,0.0,0.0001335365694781,0.0,0.0,0.0,0.00010422366398290732,0.0,0.0,0.0010976054613199926,0.0,5.211183199145366e-05,0.0,0.00010748065348237318,0.0,0.0,0.0,0.0,0.0,0.00020193334896688293,0.0,0.0,0.0,0.0,0.0
Кемеровская,0.0,0.0,0.003683799034860455,0.00011663545100671443,0.0,2.3703333591687128e-05,0.00014560619206322093,0.0,0.0,5.2674074648193616e-05,7.524867806884802e-06,4.8911640744751216e-05,2.7089524104785288e-05,4.4772963450964575e-05,0.0,0.0,9.857576827019091e-05,0.0,0.0,0.0006749806422775668,0.0,9.744703809915819e-05,0.0,2.5584550543408328e-05,0.0,0.0,0.014545945714098667,4.2891746499243374e-05,2.5584550543408328e-05,0.0,0.0006779905894003207,0.005616561331058817,0.00013808132425633613,0.00013845756764668037,0.0,0.0,0.0,0.0,0.0,0.0,0.004159370680255575,0.0,0.0,0.0,0.0001753294199004159,0.0,0.0324645371792431,0.0011355025520589166,6.885254043299595e-05,0.0,7.073375738471715e-05,0.00013431889035289373,7.148624416540563e-05,0.0,0.00017758688024248134,0.0,0.0001546360334314827,0.00041048153886556597,0.00010459566251569875,2.4455820372375608e-05,0.0,0.0007118524945313023,0.0,4.5525450231653055e-05,0.0,2.784201088547377e-05,0.0,0.00026750905053475474,0.0,0.009584047882238829,0.0,0.0,0.0006031181547218169,3.235693156960465e-05,0.0,1.9940899688244727e-05,0.0013420601733579046,3.649560886339129e-05,0.0005489391065122463,1.7683439346179287e-05,2.3327090201342888e-05,0.0,0.0,0.0
Кировская,0.0,0.0,0.0,0.0,0.001252374441738844,0.0,0.0016436919459886787,3.723061275251465e-05,0.0,3.6438472055652636e-05,0.0005291499855038253,0.0001671416870378849,0.00044280664954586573,2.217993951213639e-05,0.0,0.0,1.425853254351625e-05,0.0,0.0,0.0002122937067590197,0.0,8.079835107992541e-05,0.0,0.0057564864440962545,0.0,0.0,0.00010060186850147576,0.005800054182423665,0.028006926478253362,0.00041032888097452316,0.0013236671044564252,0.00016555740564416088,0.0,0.0,0.0,5.6241989477202985e-05,0.0,0.0,0.0,5.3865567386616945e-05,0.033837082007157786,0.0,0.0,0.0004515201972113479,0.003719892712464017,3.485419066192861e-05,0.0003382440775600799,0.00026219857066132657,0.0,0.0,0.00015684385797867873,0.001950250395674278,3.326990926820458e-05,0.0,0.0005299421262006873,0.0,0.00031131129386677145,0.006400496830645072,0.00018456878236884923,0.0,0.0,0.0019138119236186254,0.0,0.0,9.980972780461374e-05,0.00020516444048726158,0.0,0.004884339536851178,0.00010931541616695792,8.871975804854555e-05,0.0,0.0,0.0008119442142835642,0.0010091872478022056,0.00014496174752574853,0.0,0.00011248397895440597,0.0008768997514262493,0.00024952431951153435,0.0,0.0,0.0,0.00031606413804794353,0.0004523123379082099
Коми,0.0,0.0,0.0,0.0,0.006453594451005701,8.409783137287882e-05,0.008512163105915734,0.00015478876209211028,0.0,0.0,9.262949542519986e-05,0.0002547311124192996,0.0005143374614399255,0.0004814296143809729,0.0,0.0,0.0,0.0,0.0,0.00016575804444509448,0.00022426088366101017,0.0012151527228805824,0.0,0.08174918614018986,0.00029982705098156794,0.0,0.0,0.0822866809754861,0.18403408765431647,0.0,0.005437107619629165,8.531664052321039e-05,0.0003278596614391942,9.262949542519986e-05,0.0,0.00036442393594914154,0.0,0.0,0.00126756151634484,0.00022547969281134174,0.02923679389815387,0.0,0.0002864201503279206,0.00014747590719012082,0.001904998701968255,0.0,0.0,0.00010481758692851562,0.0,0.0,0.0005691838732048464,0.0016648932993529341,0.0,0.0,0.0017697108862814498,0.0,0.00028276372287692586,0.020610062732106967,0.00020110350980471022,0.0,0.0,0.0007739438104605515,0.0,0.0,0.0,0.001434538369940266,0.0,0.02836534535566679,0.0,0.00013650662483713662,0.0,0.0,0.0007361607268002726,0.0,0.00016332042614443132,0.0,0.0,0.00023157373856299963,0.0,0.00021451041045835755,0.004999555134660129,7.069093071923146e-05,0.0010481758692851562,0.0018111503973927234
Костромская,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01256423818056948,0.0,0.0006662614365670169,0.0,0.0,0.0,0.0,0.01607868831753199,0.0,0.0,0.0,0.0,0.0,0.00047680320815933437,0.0,0.0,5.99951056624328e-05,0.0007878304664619465,0.0,0.02646731450855325,0.0,8.99926584936492e-05,0.0,0.0,0.0,0.000224192236949091,0.0,0.0,0.0,0.0,0.07962139930689864,0.00014683012701595396,0.0,0.0,0.0016782841399780545,0.0,4.1049282821664545e-05,4.7364557101920635e-05,0.0,0.0,0.0,0.00045154211103831004,7.420447279300899e-05,0.0,0.0,0.0,3.7891645681536504e-05,0.0043022806034244574,0.0,0.0,0.0,0.0006552097065765688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003141848954427402,0.0,0.0,0.0,0.00014683012701595396,0.00015314540129621006,4.262810139172857e-05,0.0,0.0,0.0,0.0,0.05675852759380156
Краснодарский,0.0011757633123083196,0.0,0.0003293123978277011,9.796559293322729e-05,0.000657215218778665,0.0005513207559137917,0.001564101741849386,0.000307111562019092,0.000694921400231382,8.968432878239693e-05,4.175871497333609e-05,0.003077106321917053,3.2420268164952915e-05,0.0022063402063127197,0.0006709585933268517,0.0,0.00018377358530459722,0.0,1.7795908068805678e-05,0.0004863040224742937,0.0006750111268474708,0.0003853430786780001,0.0,0.0007164174476016226,4.722082537069229e-05,4.175871497333609e-05,0.00023046581934651312,0.0002884346684023257,0.0005109716178171926,0.0,0.06510395100874607,0.0010654639217036429,0.01151130956387339,7.893630509727666e-05,0.0003287838064989247,0.0,0.0003567991469240742,9.003672300158119e-05,0.0,0.00010184192934425427,0.06532137824198277,0.0,0.0008098019156854543,0.0,0.0010533063211417854,7.083123805603844e-05,0.0013679943588733392,0.0010785025078134608,0.000651929305490901,9.990376113874078e-05,0.00034058901284159777,0.00115021473141746,8.386982416585646e-05,0.0,0.015189776620828401,0.0003908051890753563,0.0023860612580966977,0.013833939862516919,0.001403938569230135,0.0001666824656741601,3.5591816137611355e-05,0.004422723647872191,0.0029146525868731037,0.0018446075403200657,0.00014342444720799821,0.01542147581994206,0.0003030590284984729,0.0028489310649952373,0.00011593769811162509,0.0004417261537474835,0.001416977155339953,0.0,0.0016971305595914483,0.00030129705740255153,0.000493175709748387,0.00033530309955383367,8.704137213851489e-05,0.0023797181621513807,0.001270028765940112,8.140306463156656e-05,0.00016544908590701514,1.3214783219410156e-05,0.0011338284002253914,2.713435487718885e-05
Красноярский,0.0,0.0002630610326017748,0.0010780617914316764,0.00026934100420234765,0.0005072821504018309,8.129074349630442e-05,0.0009552534579093625,0.0002323589492211963,0.0,0.0009590912183319349,0.0,0.0001856080495280427,0.0,7.919741962944679e-05,0.00016537258548175233,1.709547824600393e-05,0.000673701397817012,0.0,2.0584351357433306e-05,0.019632935659946515,0.0,0.0004706489827318225,0.0,5.3030871293726484e-05,5.547308247172705e-05,0.0,0.03334734697366424,8.896626434144903e-05,0.0,0.0,0.0028835536265963777,0.1605725938550478,0.0003767982960343724,8.652405316344847e-05,0.0,0.0,2.0584351357433306e-05,0.00014757933261346252,0.0,5.268198398258354e-05,0.01273962016638436,0.0,8.652405316344847e-05,0.0,0.0003077186084280708,0.0,0.007667845324299478,0.0009604867675765067,0.0001566504027031789,0.0,6.90796876063016e-05,0.0003028341860720696,0.00025992104680148834,0.0,0.00047344008122096604,0.0,0.0004643690111312497,0.0017863030330518394,0.0001008284329203089,0.0014981221140477731,7.815075769601798e-05,0.0013177473741868746,0.0,3.45398438031508e-05,0.0,0.0005550797120284134,0.0,0.0006360215682135749,0.0,0.023946927262228936,9.768844712002247e-06,0.010953666020643663,0.000880242686013631,8.268629274087616e-05,4.4657575826295984e-05,0.0003133008054063578,0.022864329935752402,0.0009179225156170683,0.0006761436089950127,6.314860331687167e-05,4.675089969315361e-05,0.0,0.00020375018970747544,9.768844712002247e-05
