,date,conf,recov,deaths,deaths_day,conf_day,recov_day,region,population,density,city_pop_fraction,index
23,20.04.2020,228,9,4,2,40,0,Калужская,1002575.0,33.530936454849495,0.758566690771264,2.1163265306122456
24,20.04.2020,41,4,0,0,7,1,Камчатский,313016.0,0.66274825322888,0.7846467912183402,2.1530612244897966
25,20.04.2020,87,1,0,0,20,0,Карачаево-Черкесская,465528.0,33.01617021276596,0.42882705229331,2.0969387755102042
26,20.04.2020,27,0,0,0,8,0,Карелия,614064.0,3.5618561484918794,0.8099106933479246,2.5448979591836745
27,20.04.2020,41,6,1,0,6,0,Кемеровская,2657854.0,27.830931937172775,0.8605578034007888,2.1168367346938797
28,20.04.2020,169,14,2,0,19,0,Кировская,1262402.0,10.450347682119205,0.7775803587129931,2.307142857142857
29,20.04.2020,491,21,3,0,10,11,Коми,820473.0,1.972765087761481,0.78213542675993,2.722108843537415
30,20.04.2020,70,7,2,0,4,0,Костромская,633385.0,10.538851913477538,0.7273522423170742,2.278571428571428
31,20.04.2020,417,59,8,3,34,5,Краснодарский,5675462.0,74.67713157894737,0.5535248055576797,2.237482993197276
32,20.04.2020,306,17,2,2,6,0,Красноярский,2866255.0,1.2250523571398042,0.7753068027792364,2.3633928571428564
33,20.04.2020,45,22,0,0,0,0,Крым,1912622.0,73.28053639846743,0.5098801540503037,2.618367346938776
34,20.04.2020,13,3,0,0,0,0,Курганская,827166.0,11.650225352112676,0.6219573821941424,2.08265306122449
35,20.04.2020,220,11,2,0,24,3,Курская,1104008.0,37.04724832214765,0.685197933348309,2.412244897959184
36,20.04.2020,454,9,0,0,37,0,Ленинградская,1875872.0,22.358426698450536,0.6718203587451596,2.4303571428571416
37,20.04.2020,169,60,1,0,20,12,Липецкая,1139371.0,47.276804979253114,0.646328544433727,2.364795918367346
38,20.04.2020,63,1,0,0,0,0,Магаданская,140149.0,0.3037472908539228,0.9606989703815225,1.8734693877551016
39,20.04.2020,291,24,1,0,29,0,Марий Эл,679417.0,29.28521551724138,0.6704645306196342,2.187755102040817
40,20.04.2020,293,5,1,0,35,0,Мордовия,790197.0,30.160190839694657,0.6384914141663408,2.2040816326530606
41,20.04.2020,26350,1838,204,28,2026,75,Москва,12678079.0,4876.18423076923,0.9844142002901228,2.41530612244898
42,20.04.2020,5241,176,49,0,578,14,Московская,7690863.0,173.60864559819413,0.8137034816508889,2.4937969924812067
43,20.04.2020,400,28,3,0,46,0,Мурманская,741404.0,5.1166597653554176,0.9217740934767009,2.9948979591836746
44,20.04.2020,759,26,5,1,113,5,Нижегородская,3202946.0,41.65079323797139,0.7969413159010486,2.2600765306122432
45,20.04.2020,108,4,1,0,10,0,Новгородская,596508.0,10.786763110307414,0.7151320686394818,2.259693877551021
