reg_departure,Адыгея,Алтай,Алтайский,Амурская,Архангельская,Астраханская,Башкортостан,Белгородская,Брянская,Бурятия,Владимирская,Волгоградская,Вологодская,Воронежская,Дагестан,Еврейская,Забайкальский,Ивановская,Ингушетия,Иркутская,Кабардино-Балкарская,Калининградская,Калмыкия,Калужская,Камчатский,Карелия,Кемеровская,Кировская,Коми,Костромская,Краснодарский,Красноярский,Крым,Курганская,Курская,Ленинградская,Липецкая,Магаданская,Марий Эл,Мордовия,Москва,Московская,Мурманская,Ненецкий,Нижегородская,Новгородская,Новосибирская,Омская,Оренбургская,Орловская,Пензенская,Пермский,Приморский,Псковская,Ростовская,Рязанская,Самарская,Санкт-Петербург,Саратовская,Саха /Якутия/,Сахалинская,Свердловская,Севастополь,Северная Осетия - Алания,Смоленская,Ставропольский,Тамбовская,Татарстан,Тверская,Томская,Тульская,Тыва,Тюменская,Удмуртская,Ульяновская,Хабаровский,Хакасия,Ханты-Мансийский Автономный округ - Югра,Челябинская,Чеченская,Чувашская Республика,Чукотский,Ямало-Ненецкий,Ярославская
Сахалинская,0.0,0.0,0.0,557.0,0.0,0.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,64.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,0.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,243.0,182.0,214.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,7154.0,0.0,0.0,0.0,63.0,0.0,691.0,0.0,0.0,0.0,0.0,0.0,3003.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,3059.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,6562.0,0.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0
Свердловская,0.0,125.0,2051.0,1907.0,510.0,325.0,162801.0,260.0,0.0,222.0,1003.0,1490.0,662.0,1309.0,483.0,0.0,849.0,0.0,105.0,2100.0,104.0,14827.0,0.0,2996.0,138.0,70.0,1606.0,3346.0,692.0,551.0,23942.0,3319.0,3940.0,181720.0,0.0,286.0,642.0,57.0,0.0,810.0,67235.0,0.0,893.0,85.0,3126.0,47.0,6227.0,6425.0,5196.0,0.0,2747.0,159594.0,462.0,0.0,3344.0,0.0,5357.0,21163.0,909.0,801.0,80.0,698654.0,0.0,401.0,382.0,4390.0,0.0,14683.0,105.0,1079.0,0.0,66.0,62135.0,6042.0,958.0,756.0,330.0,29222.0,414635.0,112.0,901.0,0.0,12867.0,866.0
Севастополь,0.0,0.0,0.0,0.0,0.0,21150.0,0.0,2048.0,0.0,0.0,0.0,2002.0,0.0,5820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83280.0,0.0,58788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Северная Осетия - Алания,0.0,0.0,64.0,0.0,0.0,1934.0,129.0,133.0,0.0,95.0,0.0,1967.0,0.0,366.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23500.0,0.0,83.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,20437.0,0.0,147.0,0.0,46.0,0.0,112.0,126.0,235.0,0.0,0.0,0.0,0.0,0.0,4876.0,0.0,176.0,4676.0,0.0,0.0,0.0,353.0,0.0,997.0,0.0,7928.0,100.0,76.0,30.0,0.0,37.0,0.0,102.0,62.0,101.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,95.0,0.0
Смоленская,0.0,0.0,0.0,0.0,23.0,0.0,0.0,3979.0,101.0,0.0,333.0,0.0,35.0,2389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11425.0,0.0,0.0,0.0,112.0,0.0,0.0,943.0,0.0,0.0,0.0,3266.0,1040.0,119.0,0.0,0.0,0.0,144657.0,2874.0,0.0,0.0,227.0,97.0,34.0,102.0,0.0,6994.0,0.0,111.0,0.0,13123.0,435.0,0.0,36.0,157099.0,62.0,0.0,0.0,225.0,0.0,0.0,289952.0,0.0,36.0,0.0,15518.0,0.0,125.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
Ставропольский,4908.0,0.0,321.0,141.0,944.0,17127.0,2100.0,172.0,420.0,136.0,0.0,31316.0,78.0,12332.0,4066.0,0.0,152.0,0.0,41.0,1068.0,48042.0,631.0,2021.0,208.0,136.0,83.0,408.0,249.0,1288.0,0.0,147780.0,1342.0,23357.0,185.0,1545.0,0.0,1153.0,117.0,0.0,1024.0,195606.0,0.0,1209.0,0.0,1088.0,0.0,1563.0,1143.0,1123.0,43.0,1521.0,1028.0,199.0,0.0,69351.0,1191.0,3042.0,27131.0,5113.0,223.0,87.0,3954.0,6142.0,21052.0,0.0,188099.0,411.0,3180.0,304.0,497.0,2449.0,0.0,3416.0,447.0,895.0,409.0,202.0,4685.0,1381.0,403.0,0.0,0.0,2166.0,0.0
Тамбовская,0.0,0.0,0.0,0.0,57.0,207.0,72.0,226.0,0.0,0.0,19.0,6466.0,52.0,30279.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1251.0,0.0,0.0,0.0,0.0,0.0,25927.0,0.0,0.0,0.0,101358.0,0.0,58.0,0.0,81.0,95.0,0.0,0.0,0.0,0.0,3198.0,0.0,0.0,0.0,677.0,5779.0,464.0,3075.0,1866.0,0.0,0.0,0.0,0.0,99.0,0.0,560.0,69681.0,0.0,228.0,0.0,2926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,71.0
Татарстан,0.0,83.0,952.0,207.0,292.0,2021.0,112745.0,403.0,0.0,0.0,392.0,2798.0,0.0,859.0,1828.0,0.0,198.0,1978.0,82.0,825.0,0.0,891.0,988.0,16826.0,0.0,0.0,477.0,16942.0,13922.0,0.0,13877.0,905.0,1828.0,310.0,0.0,0.0,0.0,57.0,1021.0,542.0,146128.0,0.0,418.0,0.0,31536.0,100.0,2198.0,1759.0,22454.0,0.0,657.0,46921.0,0.0,0.0,5049.0,365.0,42149.0,22004.0,4682.0,420.0,0.0,11578.0,0.0,133.0,0.0,2809.0,0.0,159145.0,223.0,809.0,0.0,0.0,3101.0,37457.0,65257.0,74.0,0.0,7900.0,18754.0,254.0,63602.0,0.0,5068.0,627.0
Тверская,0.0,0.0,0.0,0.0,0.0,101.0,0.0,364.0,671.0,0.0,533.0,299.0,0.0,726.0,0.0,0.0,0.0,3233.0,0.0,0.0,67.0,0.0,0.0,593.0,0.0,522.0,0.0,230.0,0.0,0.0,468.0,0.0,0.0,0.0,244.0,2428.0,199.0,0.0,0.0,0.0,148728.0,2090.0,676.0,0.0,1024.0,2903.0,0.0,0.0,0.0,284.0,87.0,111.0,0.0,5828.0,622.0,501.0,76.0,31563.0,130.0,0.0,0.0,139.0,0.0,32.0,349.0,443.0,145.0,207.0,752888.0,0.0,730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,167.0,0.0,0.0,5389.0
Томская,0.0,0.0,14376.0,0.0,76.0,0.0,320.0,125.0,0.0,259.0,0.0,344.0,0.0,21.0,0.0,0.0,156.0,0.0,0.0,1459.0,0.0,802.0,0.0,0.0,0.0,0.0,131604.0,0.0,0.0,0.0,3880.0,49182.0,896.0,42.0,0.0,0.0,125.0,0.0,0.0,0.0,15539.0,0.0,0.0,0.0,183.0,0.0,63943.0,1221.0,61.0,0.0,44.0,103.0,21.0,0.0,221.0,0.0,202.0,1985.0,120.0,0.0,0.0,1225.0,0.0,0.0,0.0,559.0,0.0,701.0,0.0,14285.0,0.0,0.0,995.0,97.0,0.0,0.0,7128.0,1498.0,356.0,0.0,0.0,0.0,236.0,0.0
